Estabelecimento;CNES;Endereço;CEP;Horário;Sala Vacina;Farmácia;Coleta de Material;Região Administrativa
UBS 7 JARDIM RORIZ PLANALTINA;2360233;ENTREQUADRAS 3/4 AREA ESPECIAL;73340340;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;SIM;PLANALTINA
UBS 01 SIA - CPP;3027651;SIA TRECHO 04 - LOTES 1600/1680;71200040;De Segunda a Sexta das 08:00 às 17:00De Segunda a Sexta das 08:00 às 22:00;SIM;NÃO;SIM;GUARA
UBS 16 PIPIRIPAU PLANALTINA;0011592;NUCLEO RURAL PIPIRIPAU II, AREA ESPECIAL;73307992;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PLANALTINA
UBS 4 - JARDIM II - PARANOA;0011606;NUCLEO RURAL JARDIM II DF 285, KM 19;73370994;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;PARANOA
UBS 1 VARJAO;2617358;VILA VARJAO QUADRA 5;71540400;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;VARJAO
UBS 12 CEILANDIA;2617293;EQNQ 03/04;72270300;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CEILANDIA
UBS 9 SANTA MARIA;5789494;AVENIDA ALAGADOS, CL 109;72509200;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;NÃO;SIM;SANTA MARIA
UBS 3 LOBEIRAL FERCAL;0161616;SITIO PATRICIA DF 326 KM 8 NUCLEO RURAL LOBEIRAL;73017017;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;FERCAL
UBS 04 RIACHO FUNDO II;2673924;AREA ESPECIAL N� 01 - CAUB I;71884690;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;RIACHO FUNDO II
UBS 15 RIO PRETO PLANALTINA;2672227;DF 320 NUCLEO RURAL RIO PRETO;73390200;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PLANALTINA
UBS 03 RIACHO FUNDO II;2660199;QN 07 A/B - LOTES 1 E 2 - AREA ESPECIAL;71805731;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;RIACHO FUNDO II
UBS 11 RESIDENCIAL DO BOSQUE 2 - SAO SEBASTIAO;3212025;RUA 26, CONJ B, CASA 17;71694045;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;SAO SEBASTIAO
UBS 7 MORRO DA CRUZ - SAO SEBASTIAO;3781402;CHACARA 10, CASA 03;71693500;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;SAO SEBASTIAO
